,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,-0.6,0.6,,-1.1,-1.5,1,1.3,-0.881816516,-1.107354665,-1.346948592,-1.998071871,-2.251,-0.537,-1.575,-0.852,-0.519,-0.0536,0.8924,0.5645,0.7966,1.0085,1.8256,1.1049,1.0716,1.1161,1.1294,1.1454,1.0827,1.184133983,1.16766748,1.195155116,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),162,169,165,108,194,131,147,150,130,122,177.0054795,208.0245902,231.0000795,282.0002986,360.0001863,452.0081967,455.0003178,475.0005123,500.0002219,526.3200464,503.939726,491.7589041,639.3123288,691.0163934,709.7863014,732.8986301,747.8134247,745.3879781,739.2849315,896.6363425,879.0602356,990.2883306,1255.026608,1425.536786,1727.44877,1960.226508,1886.364219,1918.072548,1765.134438,1796.58018,1814.168534,1755.945438,1828.000014,1796.777754,1708.354531,1637.116441,1488.932374,1284.13903,1150.417404,1185.254399,1174.422203,
"            Crude oil, NGPL, and other liquids (Mb/d)",162,169,165,108,194,131,147,150,130,122,177.0054795,208.0245902,231.0000795,282.0002986,360.0001863,452.0081967,455.0003178,475.0005123,500.0002219,526.3200464,503.939726,491.7589041,639.3123288,691.0163934,709.7863014,732.8986301,747.8134247,745.3879781,739.2849315,896.6363425,879.0602356,990.5943306,1255.315608,1425.902786,1727.95277,1960.694508,1886.808219,1918.520548,1765.616438,1797.04918,1814.657534,1756.616438,1828.863014,1797.614754,1709.226531,1637.998441,1489.827374,1284.98503,1151.34268,1186.166791,1175.356073,
                Crude oil including lease condensate (Mb/d),162,169,165,108,194,131,147,150,130,122,177.0054795,208.0245902,231.3424658,282.1369863,360.0520548,452.0081967,454.7671233,474.630137,499.630137,535.4508197,503.939726,491.7589041,639.3123288,691.0163934,709.7863014,729.1178082,747.8134247,745.3879781,739.2849315,896.6363425,879.0602356,987.5943306,1243.055334,1405.902786,1707.95277,1950.694508,1876.808219,1908.520548,1755.616438,1787.04918,1802.657534,1741.616438,1801.863014,1769.614754,1663.226531,1584.998441,1434.827374,1242.931974,1112.227358,1153.14067,1144.402147,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,3.780821918,,,,,,3,12.26027397,20,20,10,10,10,10,10,12,15,27,28,46,53,55,42.05305542,39.11532237,33.02612121,30.95392607,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,-0.6,-0.6,-0.8,-0.6,-0.6,-0.5,-0.4,-0.291258975,-0.479440711,-0.226856486,-0.243223549,-0.306,-0.289,-0.366,-0.504,-0.468,-0.444,-0.448,-0.482,-0.469,-0.489,-0.671,-0.863,-0.837,-0.872,-0.882,-0.895,-0.846,-0.925276338,-0.91239188,-0.933870178,
